RefDes     X          Y          Rot.       Exact     (FREE)    Side
R159       672.5000   1880.0000  270        EXACT     (FREE)    Top                           
R160       672.5000   1580.0000  270        EXACT     (FREE)    Top                           
R161       672.5000   1280.0000  270        EXACT     (FREE)    Top                           
R162       672.5000   980.0000   270        EXACT     (FREE)    Top                           
R163       672.5000   680.0000   270        EXACT     (FREE)    Top                           
R164       672.5000   380.0000   270        EXACT     (FREE)    Top                           
R165       3455.0000  5410.0000  000        EXACT     (FREE)    Top                           
R166       3455.0000  5485.0000  000        EXACT     (FREE)    Top                           
R167       2800.0000  5840.0000  000        EXACT     (FREE)    Top                           
R168       2800.0000  5920.0000  000        EXACT     (FREE)    Top                           
R169       672.5000   6160.0000  270        EXACT     (FREE)    Top                           
R170       672.5000   5860.0000  270        EXACT     (FREE)    Top                           
R171       672.5000   5560.0000  270        EXACT     (FREE)    Top                           
R172       672.5000   5260.0000  270        EXACT     (FREE)    Top                           
R173       672.5000   4960.0000  270        EXACT     (FREE)    Top                           
R174       672.5000   4660.0000  270        EXACT     (FREE)    Top                           
R175       672.5000   4360.0000  270        EXACT     (FREE)    Top                           
R176       672.5000   4060.0000  270        EXACT     (FREE)    Top                           
R177       3250.0000  435.0000   000        EXACT     (FREE)    Top                           
R178       2640.0000  3985.0000  270        EXACT     (FREE)    Top                           
R179       2435.0000  3975.0000  270        EXACT     (FREE)    Top                           
R180       3390.0000  500.0000   000        EXACT     (FREE)    Top                           
R181       2870.0000  805.0000   000        EXACT     (FREE)    Top                           
R182       2870.0000  875.0000   180        EXACT     (FREE)    Top                           
R183       3087.5000  390.0000   180        EXACT     (FREE)    Top                           
R184       3087.5000  460.0000   180        EXACT     (FREE)    Top                           
R185       2760.0000  180.0000   180        EXACT     (FREE)    Top                           
R186       2902.5000  182.5000   000        EXACT     (FREE)    Top                           
R187       2900.0000  82.5000    000        EXACT     (FREE)    Top                           
R188       2235.0000  4935.0000  000        EXACT     (FREE)    Top                           
R189       2235.0000  4815.0000  000        EXACT     (FREE)    Top                           
R190       2235.0000  4705.0000  000        EXACT     (FREE)    Top                           
R191       2235.0000  4590.0000  000        EXACT     (FREE)    Top                           
R192       2560.0000  1920.0000  000        EXACT     (FREE)    Top                           
R193       2630.0000  1620.0000  270        EXACT     (FREE)    Top                           
R194       2090.0000  4260.0000  000        EXACT     (FREE)    Top                           
R195       2355.0000  4410.0000  270        EXACT     (FREE)    Top                           
R196       2440.0000  2010.0000  270        EXACT     (FREE)    Top                           
R197       1525.0000  1625.0000  180        EXACT     (FREE)    Top                           
R198       2720.0000  6305.0000  180        EXACT     (FREE)    Top                           
R199       2720.0000  6590.0000  180        EXACT     (FREE)    Top                           
R200       2590.0000  6305.0000  090        EXACT     (FREE)    Top                           
R201       2590.0000  6065.0000  090        EXACT     (FREE)    Top                           
R202       2130.0000  4410.0000  090        EXACT     (FREE)    Top                           
R203       580.0000   6605.0000  180        EXACT     (FREE)    Top                           
R204       1075.0000  6445.0000  000        EXACT     (FREE)    Top                           
R205       672.5000   6480.0000  270        EXACT     (FREE)    Top                           
R206       2405.0000  150.0000   000        EXACT     (FREE)    Top                           
R207       2405.0000  85.0000    000        EXACT     (FREE)    Top                           
R208       1940.0000  525.0000   270        EXACT     (FREE)    Bottom                        
R209       2800.0000  6000.0000  000        EXACT     (FREE)    Top                           
R210       2170.0000  1940.0000  090        EXACT     (FREE)    Top                           
R211       2060.0000  1740.0000  090        EXACT     (FREE)    Top                           
R212       3070.0000  980.0000   000        EXACT     (FREE)    Top                           
R213       3070.0000  910.0000   000        EXACT     (FREE)    Top                           
U1         1672.5000  2220.0000  000        EXACT     (FREE)    Top                           
U2         1652.5000  5880.0000  000        EXACT     (FREE)    Top                           
U3         912.5000   3700.0000  090        EXACT     (FREE)    Top                           
U4         912.5000   3400.0000  090        EXACT     (FREE)    Top                           
U5         912.5000   3100.0000  090        EXACT     (FREE)    Top                           
U6         922.5000   2810.0000  090        EXACT     (FREE)    Top                           
U7         922.5000   2510.0000  090        EXACT     (FREE)    Top                           
U8         922.5000   2210.0000  090        EXACT     (FREE)    Top                           
U9         922.5000   1910.0000  090        EXACT     (FREE)    Top                           
U10        922.5000   1610.0000  090        EXACT     (FREE)    Top                           
U11        922.5000   1310.0000  090        EXACT     (FREE)    Top                           
U12        922.5000   1010.0000  090        EXACT     (FREE)    Top                           
U13        922.5000   710.0000   090        EXACT     (FREE)    Top                           
U14        922.5000   410.0000   090        EXACT     (FREE)    Top                           
U15        2715.0000  2320.0000  000        EXACT     (FREE)    Top                           
U16        2330.0000  7050.0000  180        EXACT     (FREE)    Top                           
U17        2235.0000  4410.0000  180        EXACT     (FREE)    Top                           
U18        922.5000   6485.0000  090        EXACT     (FREE)    Top                           
U19        922.5000   6190.0000  090        EXACT     (FREE)    Top                           
U20        922.5000   5890.0000  090        EXACT     (FREE)    Top                           
U21        922.5000   5590.0000  090        EXACT     (FREE)    Top                           
U22        922.5000   5290.0000  090        EXACT     (FREE)    Top                           
U23        922.5000   4990.0000  090        EXACT     (FREE)    Top                           
U24        922.5000   4690.0000  090        EXACT     (FREE)    Top                           
U25        922.5000   4390.0000  090        EXACT     (FREE)    Top                           
U26        922.5000   4090.0000  090        EXACT     (FREE)    Top                           
U27        2312.5000  2560.0000  270        EXACT     (FREE)    Top                           
U28        2282.5000  6200.0000  270        EXACT     (FREE)    Top                           
U29        1902.5000  3860.0000  090        EXACT     (FREE)    Top                           
U30        2392.5000  1150.0000  090        EXACT     (FREE)    Top                           
U31        1785.0000  520.0000   180        EXACT     (FREE)    Bottom                        
U32        1620.0000  560.0000   000        EXACT     (FREE)    Bottom                        
U33        1475.0000  560.0000   000        EXACT     (FREE)    Bottom                        
U34        1885.0000  230.0000   000        EXACT     (FREE)    Top                           
U35        1485.0000  230.0000   000        EXACT     (FREE)    Top                           
U39        3275.0000  710.0000   000        EXACT     (FREE)    Top                           
U42        2340.0000  3130.0000  000        EXACT     (FREE)    Top                           
U45        2545.0000  3630.0000  270        EXACT     (FREE)    Top                           
U46        2742.5000  1617.5000  270        EXACT     (FREE)    Top                           
U48        2820.0000  475.0000   270        EXACT     (FREE)    Top                           
U49        200.0000   250.0000   000        EXACT     (FREE)    Top                           
U50        3300.0000  6975.0000  000        EXACT     (FREE)    Top                           
U51        3300.0000  250.0000   000        EXACT     (FREE)    Top                           
U52        2720.0000  6160.0000  090        EXACT     (FREE)    Top                           
U53        2720.0000  6450.0000  090        EXACT     (FREE)    Top                           
U54        200.0000   6975.0000  000        EXACT     (FREE)    Top                           
U70        2990.0000  6375.0000  270        EXACT     (FREE)    Top                           
U71        2930.0000  6800.0000  180        EXACT     (FREE)    Top                           
Y1         2677.0000  3205.0000  270        EXACT     (FREE)    Top                           
